ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.281466798810704
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.281466798810704
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.281466798810704
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.281466798810704
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.281466798810704
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.276939655172414
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.281466798810704
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.276939655172414
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.281466798810704
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.276939655172414
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.281466798810704
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.276939655172414
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.281466798810704
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.010754553339115
1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.656590683845391
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.276939655172414
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.276939655172414
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.281466798810704
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.281466798810704
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.281466798810704
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.281466798810704
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.281466798810704
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.281466798810704
