Reactions,Experiment,Objective Value,Growth
"['ser_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['ser_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['ser_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['thr_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['thr_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['thr_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['thr_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['thr_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['trp_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['trp_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['trp_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['trp_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['trp_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['tyr_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['tyr_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['tyr_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['tyr_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['tyr_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['val_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['val_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['val_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['val_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['val_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['ade_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['ade_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['ade_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['ade_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['ade_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['gua_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['gua_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['gua_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['gua_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['gua_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['ura_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['ura_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['ura_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['ura_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['ura_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['4abz_CDM_exch', 'fol_CDM_exch']",L2O,0.0,False
"['4abz_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['4abz_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['4abz_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['4abz_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['4abz_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['btn_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['btn_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['btn_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['btn_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['btn_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['fol_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['fol_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['fol_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['fol_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['fol_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['ncam_CDM_exch', 'NADP_CDM_exch']",L2O,0.0,False
"['ncam_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
