base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.042,0.983,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,203,I11,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,258,K18,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,29,B5,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.792,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,49,C1,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.818,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,75,D3,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.044,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,263,K23,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.042,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,69,C21,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.935,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,82,D10,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.15,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,95,D23,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.053,0.982,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,353,O17,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.044,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,49,C1,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.982,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,110,E14,3,True,False,S. mutans UA159,aerobic
