base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.042,0.042,Plate 1$5f38302e6f537a3981830f07a12b702d54ac5679,45,B21,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.636,1.041,Plate 1$5f38302e6f537a3981830f07a12b702d54ac5679,205,I13,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.204,Plate 10$cb4002332d3dab292b06830f8dc938bb4e36a150,52,C4,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.188,Plate 10$cb4002332d3dab292b06830f8dc938bb4e36a150,304,M16,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.93,Plate 2$4a9c10702abc1953d9474331045e9ac8554303df,151,G7,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.045,Plate 2$4a9c10702abc1953d9474331045e9ac8554303df,342,O6,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.095,0.047,Plate 3$1c2309c8d1006100cde757784890f113b1f8399d,156,G12,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.044,Plate 3$1c2309c8d1006100cde757784890f113b1f8399d,234,J18,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.161,Plate 4$d95007b6bb74a8a588a9aa146508555cff4a98e6,195,I3,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.046,Plate 4$d95007b6bb74a8a588a9aa146508555cff4a98e6,239,J23,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.042,Plate 5$5e2dc169d4fcaeea657a9b99f3049383f1bf09d8,201,I9,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.056,Plate 5$5e2dc169d4fcaeea657a9b99f3049383f1bf09d8,213,I21,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.183,Plate 6$b3f3d0ce5534d124164e000066270c38d20cb3ec,53,C5,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.042,Plate 6$b3f3d0ce5534d124164e000066270c38d20cb3ec,341,O5,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.043,Plate 7$a3992b9fe5bcec1c006021ff4cd43b01bb4e1d88,79,D7,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.05,0.865,Plate 7$a3992b9fe5bcec1c006021ff4cd43b01bb4e1d88,248,K8,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.044,Plate 8$fbc2d1588cafac7bf06e6f86f9b30e5639e1826d,274,L10,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.925,Plate 8$fbc2d1588cafac7bf06e6f86f9b30e5639e1826d,318,N6,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.043,Plate 9$48cc115cebcac7f3bf363fd21f861c59c248beab,127,F7,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.143,0.881,Plate 9$48cc115cebcac7f3bf363fd21f861c59c248beab,157,G13,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.05,Plate 1$5f38302e6f537a3981830f07a12b702d54ac5679,22,A22,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.798,Plate 1$5f38302e6f537a3981830f07a12b702d54ac5679,373,P13,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.054,Plate 10$cb4002332d3dab292b06830f8dc938bb4e36a150,6,A6,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.214,Plate 10$cb4002332d3dab292b06830f8dc938bb4e36a150,283,L19,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.218,Plate 2$4a9c10702abc1953d9474331045e9ac8554303df,335,N23,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.045,Plate 2$4a9c10702abc1953d9474331045e9ac8554303df,337,O1,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.11,Plate 3$1c2309c8d1006100cde757784890f113b1f8399d,27,B3,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 3$1c2309c8d1006100cde757784890f113b1f8399d,60,C12,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.02,Plate 4$d95007b6bb74a8a588a9aa146508555cff4a98e6,30,B6,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.043,Plate 4$d95007b6bb74a8a588a9aa146508555cff4a98e6,103,E7,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.046,Plate 5$5e2dc169d4fcaeea657a9b99f3049383f1bf09d8,1,A1,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.985,Plate 5$5e2dc169d4fcaeea657a9b99f3049383f1bf09d8,116,E20,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.069,Plate 6$b3f3d0ce5534d124164e000066270c38d20cb3ec,11,A11,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.925,Plate 6$b3f3d0ce5534d124164e000066270c38d20cb3ec,327,N15,2,True,False,S. mutans UA159,aerobic
