base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.04,0.04,Plate 1$e3d349abd4d92376686b2fe2d35953188feb9164,368,P8,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.957,Plate 1$e3d349abd4d92376686b2fe2d35953188feb9164,372,P12,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.065,Plate 10$b04145655dc27dc0871bb3f172aec69944404323,61,C13,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.046,Plate 10$b04145655dc27dc0871bb3f172aec69944404323,355,O19,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.934,Plate 2$18fc6fe59da73bb7d7bdb43c8bfcfeb3ed7efeec,97,E1,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.047,Plate 2$18fc6fe59da73bb7d7bdb43c8bfcfeb3ed7efeec,288,L24,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 3$2541528eab54e6f1ae6abbcdde3e14c0456de97b,88,D16,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.988,Plate 3$2541528eab54e6f1ae6abbcdde3e14c0456de97b,298,M10,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.29,Plate 4$feb15e1539d6caa71cba6eea7a484cedc8909e4b,29,B5,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 4$feb15e1539d6caa71cba6eea7a484cedc8909e4b,206,I14,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.04,Plate 5$e1e931538c0f657aa68ad759689b957ddb608dab,44,B20,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,1.072,Plate 5$e1e931538c0f657aa68ad759689b957ddb608dab,316,N4,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.045,Plate 6$f3dcfe321976086c1fbdc8188a33dd40fcc1df49,108,E12,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.001,Plate 6$f3dcfe321976086c1fbdc8188a33dd40fcc1df49,280,L16,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.007,Plate 7$dd2121261442d83876445909335bfc35b9577b54,211,I19,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 7$dd2121261442d83876445909335bfc35b9577b54,234,J18,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 8$77cf3de9618c2c2868efd89d75e92e6495a29b8d,131,F11,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.109,Plate 8$77cf3de9618c2c2868efd89d75e92e6495a29b8d,266,L2,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.008,Plate 9$e911f06cf0c38e62026c45f6b26b079e199d7c20,264,K24,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 9$e911f06cf0c38e62026c45f6b26b079e199d7c20,275,L11,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.07,Plate 1$e3d349abd4d92376686b2fe2d35953188feb9164,46,B22,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.043,Plate 1$e3d349abd4d92376686b2fe2d35953188feb9164,309,M21,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.221,Plate 10$b04145655dc27dc0871bb3f172aec69944404323,116,E20,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.927,Plate 10$b04145655dc27dc0871bb3f172aec69944404323,144,F24,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 2$18fc6fe59da73bb7d7bdb43c8bfcfeb3ed7efeec,82,D10,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.897,Plate 2$18fc6fe59da73bb7d7bdb43c8bfcfeb3ed7efeec,226,J10,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.051,Plate 3$2541528eab54e6f1ae6abbcdde3e14c0456de97b,168,G24,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.002,Plate 3$2541528eab54e6f1ae6abbcdde3e14c0456de97b,269,L5,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 4$feb15e1539d6caa71cba6eea7a484cedc8909e4b,46,B22,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,1.083,Plate 4$feb15e1539d6caa71cba6eea7a484cedc8909e4b,316,N4,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 5$e1e931538c0f657aa68ad759689b957ddb608dab,95,D23,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.93,Plate 5$e1e931538c0f657aa68ad759689b957ddb608dab,360,O24,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.04,Plate 6$f3dcfe321976086c1fbdc8188a33dd40fcc1df49,198,I6,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.897,Plate 6$f3dcfe321976086c1fbdc8188a33dd40fcc1df49,362,P2,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 7$dd2121261442d83876445909335bfc35b9577b54,53,C5,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.98,Plate 7$dd2121261442d83876445909335bfc35b9577b54,280,L16,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.877,Plate 8$77cf3de9618c2c2868efd89d75e92e6495a29b8d,181,H13,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.042,Plate 8$77cf3de9618c2c2868efd89d75e92e6495a29b8d,277,L13,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.043,Plate 9$e911f06cf0c38e62026c45f6b26b079e199d7c20,118,E22,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.07,Plate 9$e911f06cf0c38e62026c45f6b26b079e199d7c20,349,O13,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.983,Plate 1$e3d349abd4d92376686b2fe2d35953188feb9164,35,B11,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.043,Plate 1$e3d349abd4d92376686b2fe2d35953188feb9164,155,G11,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.093,Plate 10$b04145655dc27dc0871bb3f172aec69944404323,95,D23,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.21,Plate 10$b04145655dc27dc0871bb3f172aec69944404323,213,I21,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.04,Plate 2$18fc6fe59da73bb7d7bdb43c8bfcfeb3ed7efeec,83,D11,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.836,Plate 2$18fc6fe59da73bb7d7bdb43c8bfcfeb3ed7efeec,124,F4,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.057,Plate 3$2541528eab54e6f1ae6abbcdde3e14c0456de97b,304,M16,3,True,False,S. mutans UA159,aerobic
