base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.043,0.059,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,150,G6,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.857,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,182,H14,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.809,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,113,E17,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.045,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,380,P20,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.047,1.049,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,168,G24,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.065,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,175,H7,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.05,0.051,Plate 1$fe8856866a7678773483ad49870edc160e621acc,19,A19,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.083,0.875,Plate 1$fe8856866a7678773483ad49870edc160e621acc,204,I12,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.082,0.904,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,231,J15,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.055,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,357,O21,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.046,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,68,C20,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.889,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,370,P10,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.044,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,368,P8,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.976,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,382,P22,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.051,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,33,B9,3,False,True,S. mutans UA159,aerobic
