base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.04,1.008,Plate 1$fa40c0f769646afdec15dbb754137b84f99d2f1b,61,C13,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.048,Plate 1$fa40c0f769646afdec15dbb754137b84f99d2f1b,239,J23,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.04,1.004,Plate 10$27a74777ce461ebdc4afc173811a66772f4966b0,158,G14,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.04,0.231,Plate 10$27a74777ce461ebdc4afc173811a66772f4966b0,295,M7,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.04,0.044,Plate 2$4daf3516dc487864dd147bc0c27ac127476ddd4b,77,D5,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.912,Plate 2$4daf3516dc487864dd147bc0c27ac127476ddd4b,189,H21,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.062,Plate 3$35504bb0a2ee408ae365c6b1030539d8bf9cf658,158,G14,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.897,Plate 3$35504bb0a2ee408ae365c6b1030539d8bf9cf658,354,O18,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.075,Plate 4$4632ba239c21ba1ff3c6ffb0524cc9753c02a330,126,F6,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,1.218,Plate 4$4632ba239c21ba1ff3c6ffb0524cc9753c02a330,331,N19,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.04,0.575,Plate 5$d12fb425dc7c52501a0c7485fad9584beaae6563,138,F18,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.076,Plate 5$d12fb425dc7c52501a0c7485fad9584beaae6563,378,P18,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.04,0.044,Plate 6$8a88036f728a8847a94ae7eaa0a99e4a7d7d8c8e,99,E3,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.642,Plate 6$8a88036f728a8847a94ae7eaa0a99e4a7d7d8c8e,146,G2,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.04,0.581,Plate 7$a5e6e1023e9cb9cfede59b5ba6e8cf4b2a3c4b0e,55,C7,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.043,Plate 7$a5e6e1023e9cb9cfede59b5ba6e8cf4b2a3c4b0e,173,H5,1,False,True,S. mutans UA159,aerobic
