base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,leave_out_18,leave_out_19,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.738,Plate 6$34d4a6463c2c4d8d2e44dfc61133609b0b2c4032,269,L5,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 7$27b50f751e859212acc2b48ae85304065919d4c8,79,D7,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.586,Plate 7$27b50f751e859212acc2b48ae85304065919d4c8,203,I11,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.045,0.691,Plate 8$bb0bf0a159a976f88fd89bf504e92256182a2eed,2,A2,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 8$bb0bf0a159a976f88fd89bf504e92256182a2eed,44,B20,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.679,Plate 9$9ea91054b5c547c778e10694775814bd8507ef9d,117,E21,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.04,Plate 9$9ea91054b5c547c778e10694775814bd8507ef9d,271,L7,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 1$7e066d31dcaa2a7363ad1b560d6c957b937d1ddd,209,I17,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.815,Plate 1$7e066d31dcaa2a7363ad1b560d6c957b937d1ddd,221,J5,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.592,Plate 10$8b2559714b17f6642621bc9030f86387de29dde3,27,B3,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 10$8b2559714b17f6642621bc9030f86387de29dde3,77,D5,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.07,Plate 11$fa084b1f661da645d01f4c169cf00ecab2d5b100,141,F21,2,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,1.279,Plate 11$fa084b1f661da645d01f4c169cf00ecab2d5b100,184,H16,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.866,Plate 12$8cd9f044578ee1b5ee7d54586455669ee5f6d18c,209,I17,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.086,Plate 12$8cd9f044578ee1b5ee7d54586455669ee5f6d18c,237,J21,2,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.636,Plate 13$015f993478fc7458d8b52f0e9179bf3bf7055713,176,H8,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.044,0.041,Plate 13$015f993478fc7458d8b52f0e9179bf3bf7055713,303,M15,2,False,True,S. mutans UA159,anaerobic
