ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,strain,fitness
0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,aerobic,S. gordonii CH1,0.0025214719092270135
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,aerobic,S. gordonii CH1,0.0011935548040580832
0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,aerobic,S. gordonii CH1,0.0006320613099470654
0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,aerobic,S. gordonii CH1,0.0006042296072507516
0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,aerobic,S. gordonii CH1,0.0006303679773067534
0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,aerobic,S. gordonii CH1,0.005457991156032849
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,aerobic,S. gordonii CH1,0.0012731082407235464
0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,aerobic,S. gordonii CH1,0.0011618337609527048
0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,aerobic,S. gordonii CH1,0.0018193303853442802
0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,aerobic,S. gordonii CH1,0.008275203564703073
0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,aerobic,S. gordonii CH1,0.0023236675219054054
0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,aerobic,S. gordonii CH1,0.0031678149996040212
0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,aerobic,S. gordonii CH1,0.0024257738471257125
0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,aerobic,S. gordonii CH1,0.001195933824995018
0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,aerobic,S. gordonii CH1,0.0012618296529968423
