reagent_name,reaction_name
dl_alanine,ala_exch
glycine,gly_exch
l_arginine,arg_exch
l_asparagine,asn_exch
l_aspartic_acid,asp_exch
l_cysteine,cys_exch
l_glutamic_acid,glu_exch
l_glutamine,gln_exch
l_histidine,his_exch
l_isoleucine,ile_exch
l_leucine,leu_exch
l_lysine,lys_exch
l_methionine,met_exch
l_phenylalanine,phe_exch
l_serine,ser_exch
l_threonine,thr_exch
l_tryptophan,trp_exch
l_tyrosine,tyr_exch
l_valine,val_exch
prolines,pro_exch
