ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.7311274509803922
0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1.0
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.4238132039938882
0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.46293297403810096
0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1.0
0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0.1793587309246118
0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1.0
0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0.07377189015052331
0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1.0
0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1.0
0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1.0
0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1.0
0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0.7066188750310913
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0.7228143588197666
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.18153027452188347
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.3782543803407574
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.06484126417355013
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.35423669258868856
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1.0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0.6591503267973855
0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1.0
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.33692658920513097
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.0
0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1.0
