ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,aerobic,0.8049044356292826
1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,aerobic,0.25599232981783315
1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,aerobic,0.0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,aerobic,0.00779992571499319
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,aerobic,0.0029527559055118145
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,aerobic,0.9930638603204974
1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,aerobic,0.3764875586007933
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,aerobic,0.7378098834345758
1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,aerobic,0.9979079497907947
1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,aerobic,0.9100358422939068
1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,aerobic,0.03461954561846376
1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,aerobic,0.5169154910286262
1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,aerobic,0.009227362204724409
1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,aerobic,1.0
1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,aerobic,0.7688352068883042
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,aerobic,0.8862817854414493
1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,aerobic,1.0
1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,aerobic,0.8481029995890974
1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,aerobic,0.9707897583844214
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,aerobic,1.0
1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,aerobic,0.7294554185310487
1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,aerobic,0.8373706232107465
1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,aerobic,1.0
1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,aerobic,1.0
1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,aerobic,1.0
1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,aerobic,0.3332923228346457
1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,aerobic,0.4133960628946391
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,aerobic,0.9622099976082278
1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,aerobic,0.1303211351755041
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,aerobic,1.0
1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,aerobic,0.9894926941388935
1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,aerobic,0.9497981010586053
1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,aerobic,0.012221977537987224
1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,aerobic,0.15698924731182795
1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,aerobic,0.8939776415434548
1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,aerobic,0.37145596493631
1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,aerobic,0.0
1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,aerobic,0.0
1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,aerobic,0.8581679024156897
1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,aerobic,0.0041075429424944025
1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,aerobic,0.0
1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,aerobic,0.012113936483684383
1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,aerobic,0.006606474344857961
1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,aerobic,0.0025113609184405665
1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,aerobic,1.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,aerobic,0.0
1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,aerobic,0.03122859882207917
0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,aerobic,0.9628561125135234
0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,aerobic,0.026708670045199286
0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,aerobic,0.0
0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,aerobic,0.8903058066113656
0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,aerobic,1.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,aerobic,0.001433691756272403
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,aerobic,0.0019819423034573877
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,aerobic,0.018334606569900685
1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,aerobic,0.005910359546872441
1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,aerobic,0.03966822935448972
0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,aerobic,1.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,aerobic,0.010683468018079711
1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,aerobic,1.0
1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,aerobic,1.0
1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,aerobic,0.011202389843166538
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,aerobic,0.0
1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,aerobic,0.1084782906451171
