Card,# Epochs,Loss,Grow,No Grow
8,10,binary CE,0.034,0.966
8,10,binary CE - te/tr split,0.075,0.925
8,10,custom,0.078,0.922
8,10,custom - te/tr split,0.029,0.971
8,20,binary CE,0.136,0.864
8,20,binary CE - te/tr split,0.192,0.808
8,20,custom,0.155,0.845
8,20,custom - te/tr split,0.185,0.815
8,100,binary CE,0.24,0.76
8,100,binary CE - te/tr split,0.154,0.846
8,100,custom,0.246,0.754
8,100,custom - te/tr split,0.221,0.779
8,1000,binary CE,0.319,0.681
8,1000,binary CE - te/tr split,0.432,0.568
8,1000,custom,0.274,0.726
8,1000,custom - te/tr split,0.315,0.685
9,5,binary CE,0.097,0.903
9,5,binary CE - te/tr split,0.013,0.987
9,5,custom,0.05,0.95
9,5,custom - te/tr split,0.044,0.956
9,10,binary CE,0.057,0.943
9,10,binary CE - te/tr split,0.107,0.893
9,10,custom,0.119,0.881
9,10,custom - te/tr split,0.048,0.952
9,20,binary CE,0.173,0.827
9,20,binary CE - te/tr split,0.24,0.76
9,20,custom,0.199,0.801
9,20,custom - te/tr split,0.23,0.77
9,100,binary CE,0.284,0.716
9,100,binary CE - te/tr split,0.196,0.804
9,100,custom,0.291,0.709
9,100,custom - te/tr split,0.27,0.73
9,1000,binary CE,0.351,0.649
9,1000,binary CE - te/tr split,0.463,0.537
9,1000,custom,0.307,0.693
9,1000,custom - te/tr split,0.35,0.65
10,5,binary CE,0.138,0.862
10,5,binary CE - te/tr split,0.024,0.976
10,5,custom,0.077,0.923
10,5,custom - te/tr split,0.061,0.939
10,10,binary CE,0.088,0.912
10,10,binary CE - te/tr split,0.147,0.853
10,10,custom,0.171,0.829
10,10,custom - te/tr split,0.075,0.925
10,20,binary CE,0.212,0.788
10,20,binary CE - te/tr split,0.291,0.709
10,20,custom,0.247,0.753
10,20,custom - te/tr split,0.28,0.72
10,100,binary CE,0.328,0.672
10,100,binary CE - te/tr split,0.24,0.76
10,100,custom,0.333,0.667
10,100,custom - te/tr split,0.319,0.681
10,1000,binary CE,0.382,0.618
10,1000,binary CE - te/tr split,0.49,0.51
10,1000,custom,0.34,0.66
10,1000,custom - te/tr split,0.383,0.617
11,5,binary CE,0.189,0.811
11,5,binary CE - te/tr split,0.041,0.959
11,5,custom,0.114,0.886
11,5,custom - te/tr split,0.081,0.919
11,10,binary CE,0.13,0.87
11,10,binary CE - te/tr split,0.193,0.807
11,10,custom,0.235,0.765
11,10,custom - te/tr split,0.111,0.889
11,20,binary CE,0.256,0.744
11,20,binary CE - te/tr split,0.344,0.656
11,20,custom,0.298,0.702
11,20,custom - te/tr split,0.332,0.668
11,100,binary CE,0.369,0.631
11,100,binary CE - te/tr split,0.285,0.715
11,100,custom,0.373,0.627
11,100,custom - te/tr split,0.365,0.635
11,1000,binary CE,0.411,0.589
11,1000,binary CE - te/tr split,0.513,0.487
11,1000,custom,0.373,0.627
11,1000,custom - te/tr split,0.417,0.583
