Card,# Epochs,Loss,Grow,No Grow
8,10,binary CE,0.0,1.0
8,10,binary CE - te/tr split,0.0,1.0
8,10,custom,0.0,1.0
8,10,custom - te/tr split,0.0,1.0
8,20,binary CE,0.0,1.0
8,20,binary CE - te/tr split,0.0,1.0
8,20,custom,0.0,1.0
8,20,custom - te/tr split,0.0,1.0
8,100,binary CE,0.0,1.0
8,100,binary CE - te/tr split,0.0,1.0
8,100,custom,0.0,1.0
8,100,custom - te/tr split,0.0,1.0
8,1000,binary CE,0.097,0.903
8,1000,binary CE - te/tr split,0.005,0.995
8,1000,custom,0.058,0.942
8,1000,custom - te/tr split,0.004,0.996
9,5,binary CE,0.0,1.0
9,5,binary CE - te/tr split,0.0,1.0
9,5,custom,0.0,1.0
9,5,custom - te/tr split,0.0,1.0
9,10,binary CE,0.0,1.0
9,10,binary CE - te/tr split,0.0,1.0
9,10,custom,0.0,1.0
9,10,custom - te/tr split,0.0,1.0
9,20,binary CE,0.0,1.0
9,20,binary CE - te/tr split,0.0,1.0
9,20,custom,0.0,1.0
9,20,custom - te/tr split,0.0,1.0
9,100,binary CE,0.0,1.0
9,100,binary CE - te/tr split,0.0,1.0
9,100,custom,0.0,1.0
9,100,custom - te/tr split,0.0,1.0
9,1000,binary CE,0.096,0.904
9,1000,binary CE - te/tr split,0.002,0.998
9,1000,custom,0.055,0.945
9,1000,custom - te/tr split,0.002,0.998
10,5,binary CE,0.0,1.0
10,5,binary CE - te/tr split,0.0,1.0
10,5,custom,0.0,1.0
10,5,custom - te/tr split,0.0,1.0
10,10,binary CE,0.0,1.0
10,10,binary CE - te/tr split,0.0,1.0
10,10,custom,0.0,1.0
10,10,custom - te/tr split,0.0,1.0
10,20,binary CE,0.0,1.0
10,20,binary CE - te/tr split,0.0,1.0
10,20,custom,0.0,1.0
10,20,custom - te/tr split,0.0,1.0
10,100,binary CE,0.0,1.0
10,100,binary CE - te/tr split,0.0,1.0
10,100,custom,0.0,1.0
10,100,custom - te/tr split,0.0,1.0
10,1000,binary CE,0.094,0.906
10,1000,binary CE - te/tr split,0.001,0.999
10,1000,custom,0.051,0.949
10,1000,custom - te/tr split,0.001,0.999
11,5,binary CE,0.0,1.0
11,5,binary CE - te/tr split,0.0,1.0
11,5,custom,0.0,1.0
11,5,custom - te/tr split,0.0,1.0
11,10,binary CE,0.0,1.0
